144.217.75.65:8800|Canada|Quebec|Beauharnois
152.26.231.86:9443|United States|North Carolina|Fayetteville
168.8.209.253:8080|United States|Georgia|Roswell
205.155.45.139:3128|United States|California|Gonzales
89.250.152.76:8080|Russia|Tyumen’ Oblast|Tyumen
190.26.201.194:8080|Colombia|Bogota D.C.|Bogotá
92.52.45.48:8118|Slovakia|Bratislava|Bratislava
8.214.41.50:80|Singapore|Central Singapore|Singapore
168.119.118.250:8118|Finland|Uusimaa|Helsinki
182.253.159.58:8080|Indonesia|West Java|Bandung
200.60.86.138:999|Peru|Arequipa|Arequipa
103.159.46.2:82|India|Gujarat|Ahmedabad
110.168.213.89:8080|Thailand|Bangkok|Bangkok
183.91.0.120:3128|Vietnam|Hanoi|Hanoi
46.209.196.147:8080|Iran|Tehran|Tehran
171.103.58.122:8080|Thailand|Bangkok|Bangkok
41.111.204.186:8080|Algeria|Béjaïa|Akbou
162.241.55.222:1081|United States|Utah|Provo
177.242.148.14:999|Mexico|Hidalgo|Tizayuca
41.128.148.74:1981|Egypt|Cairo Governorate|Cairo
190.24.119.55:999|Colombia|Bogota D.C.|Bogotá
181.198.62.154:999|Ecuador|Provincia de Manabi|Portoviejo
27.72.105.233:19132|Vietnam|Hanoi|Hanoi
111.90.188.206:8080|Cambodia|Phnom Penh|Phnom Penh
189.203.180.233:999|Mexico|Mexico City|Mexico City
103.242.104.215:8080|Indonesia|West Java|Karawang
50.250.56.129:46456|United States|Massachusetts|Lawrence
176.74.9.62:8080|Russia|Moscow|Moscow
83.220.35.174:41890|Russia|Moscow Oblast|Khimki
91.217.42.3:8080|Russia|Chelyabinsk Oblast|Chelyabinsk
190.107.224.150:3128|Chile|Santiago Metropolitan|Santiago
187.243.250.197:3128|Mexico|Sinaloa|Mazatlán
103.76.151.46:8181|Indonesia|West Java|Bogor
85.117.56.151:8080|Georgia|K'alak'i T'bilisi|Tbilisi
85.25.4.27:5566|Germany|North Rhine-Westphalia|Bonn
151.22.181.212:8080|Italy|Lombardy|Rho
190.2.211.134:8080|Colombia|Departamento del Cauca|Popayán
85.25.119.221:5566|Germany|North Rhine-Westphalia|Bonn
183.88.40.129:8080|Thailand|Buriram|Chamni
120.76.244.188:8080|China|Guangdong|Shenzhen
103.10.22.236:8080|Mongolia|Ulaanbaatar Hot|Ulan Bator
190.217.14.123:999|Venezuela|Distrito Federal|Caracas
45.184.25.77:8085|Brazil|Piaui|Teresina
212.19.7.246:3128|Russia|Khabarovsk|Khabarovsk
94.181.48.95:1256|Russia|Moscow|Moscow
195.97.124.164:8080|Greece|Attica|Athens
204.199.113.29:999|Colombia|Bogota D.C.|Bogotá
203.128.83.115:8080|Indonesia|Jakarta|Jakarta
45.179.193.86:999|Paraguay|Departamento del Alto Parana|Ciudad del Este
177.93.50.234:999|Colombia|Bogota D.C.|Bogotá
103.11.106.93:8181|Indonesia|East Java|Madiun
45.181.121.73:999|Chile|Santiago Metropolitan|Santiago
152.231.25.58:8080|Colombia|Departamento del Valle del Cauca|Santiago de Cali
85.25.196.76:5566|Germany|North Rhine-Westphalia|Bonn
175.101.14.114:83|India|Telangana|Hyderabad
109.108.68.144:41890|Ukraine|Kyiv City|Kyiv
45.230.47.17:999|Venezuela|Carabobo|Valencia
103.145.31.250:8080|Indonesia|West Java|Bekasi
170.81.35.26:36681|Costa Rica|Provincia de San Jose|San José
190.57.245.250:8080|Argentina|Buenos Aires F.D.|Buenos Aires
190.214.27.46:8080|Ecuador|Provincia del Guayas|Guayaquil
186.16.206.162:999|Paraguay|Asuncion|Asunción
103.106.242.149:8080|Bangladesh|Rajshahi Division|Gazipur
190.90.242.208:999|Colombia|Departamento de Norte de Santander|Ocaña
177.93.50.11:999|Colombia|Bogota D.C.|Bogotá
186.251.7.195:8080|Brazil|Sao Paulo|Taruma
138.122.6.28:999|Venezuela|Distrito Federal|Caracas
201.150.117.97:999|Mexico|Hidalgo|Actopan
190.110.99.106:999|Chile|O'Higgins Region|Rancagua
203.189.137.137:8080|Cambodia|Phnom Penh|Phnom Penh
85.117.56.147:8080|Georgia|K'alak'i T'bilisi|Tbilisi
188.133.153.187:8081|Russia|Moscow|Moscow
190.217.14.174:999|Venezuela|Distrito Federal|Caracas
104.244.75.205:8118|Luxembourg|Mersch|Roost
181.198.86.74:999|Ecuador|Provincia del Guayas|General Villamil
87.76.1.69:8080|Russia|Ulyanovsk Oblast|Ulyanovsk
85.25.226.133:5566|Germany|North Rhine-Westphalia|Wuppertal
95.216.12.141:22204|Sweden|Östergötland|Linköping
221.131.229.54:7890|Hong Kong|Central and Western District|Central
110.49.11.50:8080|Thailand|Bangkok|Khwaeng Thung Song Hong
114.7.27.98:8080|Indonesia|Jakarta|Jakarta
195.175.89.198:8080|Turkey|Antalya|Antalya
45.161.115.112:999|Chile|Coquimbo Region|Salamanca
123.200.20.6:8080|Bangladesh|Dhaka Division|Azimpur
186.251.71.193:8085|Brazil|Goias|Goiânia
103.169.1.25:8080|Indonesia|Central Java|Pemalang
134.209.216.204:3130|United States|New Jersey|North Bergen
83.218.168.103:8080|Austria|Tyrol|Abfaltersbach
103.116.203.245:43520|Indonesia|Jakarta|Jakarta
217.60.194.43:8080|Iran|Alborz Province|Karaj
103.168.164.26:84|India|Maharashtra|Pune
187.33.44.78:37600|Brazil|Sao Paulo|São Paulo
131.72.69.98:45005|Brazil|Sergipe|Moita Bonita
124.226.138.97:9797|China|Guangxi|Lilancun
188.246.186.142:41890|Russia|Moscow|Moscow
51.79.50.22:9300|Sweden|Stockholm County|Stockholm
111.90.179.74:8080|Australia|Western Australia|Perth
103.236.193.225:83|India|Telangana|Hyderabad
139.255.109.27:8080|Indonesia|Jakarta|Jakarta
43.243.140.194:8080|Indonesia|Jakarta|Jakarta
181.209.64.134:999|Argentina|Mendoza|San Rafael
51.178.195.49:8080|France|Hauts-de-France|Roubaix
43.241.29.201:8080|India|Maharashtra|Mumbai
196.3.97.71:23500|Mozambique|Cidade de Maputo|Maputo
80.65.28.57:30962|Russia|Krasnoyarskiy Kray|Krasnoyarsk
190.60.104.218:3128|Colombia|Bogota D.C.|Bogotá
190.61.82.170:999|Panama|Provincia de Panama|Panama City
45.167.95.184:8085|Mexico|Querétaro|Querétaro
72.47.152.224:55443|United States|Texas|Ben Wheeler
66.94.120.161:443|United States|Washington|Seattle
95.104.54.227:42119|Georgia|K'alak'i T'bilisi|K'alak'i T'bilisi
103.149.238.102:9090|Indonesia|East Java|Pasuruan
1.0.205.87:8080|Thailand|Bangkok|Khwaeng Thung Song Hong
202.138.242.16:8080|Indonesia|West Java|Bandung
43.224.10.31:6666|India|Gujarat|Surat
181.129.2.90:8081|Colombia|Antioquia|Caldas
190.112.219.57:999|Argentina|Santa Fe|Rosario
91.93.118.3:8090|Turkey|Ankara|Ankara
85.25.132.9:5566|Austria|Vienna|Vienna
181.188.156.171:3128|Bolivia|Departamento de La Paz|La Paz
24.72.171.214:8080|United States|Texas|La Grange
36.79.221.204:8080|Indonesia|East Java|Kediri
194.233.69.90:443|Singapore|Central Singapore|Singapore
161.132.79.126:999|Peru|Lima|Lima
117.102.75.13:9999|Indonesia|East Java|Kediri
45.170.100.128:999|Chile|Santiago Metropolitan|Buin
105.235.222.2:8080|Mozambique|Cidade de Maputo|Maputo
