72.217.216.239:4145|United States|Arizona|Phoenix
72.206.181.103:4145|United States|Louisiana|Baton Rouge
174.77.111.197:4145|United States|Oklahoma|Oklahoma City
98.162.25.23:4145|United States|Oklahoma|Oklahoma City
98.175.31.195:4145|United States|Kansas|Topeka
24.249.199.12:4145|United States|Florida|Pensacola
174.75.211.222:4145|United States|Oklahoma|Oklahoma City
72.195.34.41:4145|United States|Louisiana|Baton Rouge
98.188.47.150:4145|United States|Louisiana|Baton Rouge
184.178.172.14:4145|United States|Oklahoma|Edmond
174.77.111.196:4145|United States|Oklahoma|Oklahoma City
174.64.199.79:4145|United States|Oklahoma|Oklahoma City
98.188.47.132:4145|United States|Louisiana|Baton Rouge
98.162.96.52:4145|United States|Oklahoma|Oklahoma City
98.170.57.231:4145|United States|Oklahoma|Oklahoma City
72.210.252.137:4145|United States|Louisiana|Monroe
24.249.199.4:4145|United States|Florida|Pensacola
72.206.181.123:4145|United States|Louisiana|Baton Rouge
174.64.199.82:4145|United States|Oklahoma|Oklahoma City
72.221.232.155:4145|United States|Oklahoma|Oklahoma City
184.181.217.210:4145|United States|Oklahoma|Oklahoma City
192.111.137.37:18762|United States|Georgia|Atlanta
72.195.34.59:4145|United States|Louisiana|Baton Rouge
72.195.114.184:4145|United States|Louisiana|Monroe
72.195.34.42:4145|United States|Louisiana|Baton Rouge
175.100.88.83:33427|Cambodia|Phnom Penh|Phnom Penh
195.158.197.13:1043|Ukraine|Kyiv City|Kyiv
72.221.172.203:4145|United States|Louisiana|Monroe
60.190.78.218:7302|China|Beijing|Beijing
98.162.96.41:4145|United States|Oklahoma|Oklahoma City
67.201.33.10:25283|United States|California|Buena Park
47.242.111.65:1080|Hong Kong|Central and Western District|Hong Kong
198.8.94.170:4145|United States|Georgia|Atlanta
8.210.156.241:1080|Hong Kong|Central and Western District|Central
8.218.8.25:1080|Hong Kong|Central and Western District|Central
72.195.34.58:4145|United States|Louisiana|Baton Rouge
138.68.252.165:9050|Romania|Bucharest|Bucharest
5.189.229.42:1080|Russia|St.-Petersburg|St Petersburg
103.150.61.200:1081|Indonesia|East Java|Malang
91.219.58.95:1080|Russia|Nizhny Novgorod Oblast|Nizhniy Novgorod
72.210.208.101:4145|United States|Louisiana|Monroe
116.105.208.163:1080|Vietnam|Tinh Quang Nam|Dien Ban
144.22.251.99:1080|Brazil|Sao Paulo|São Paulo
72.195.114.169:4145|United States|Louisiana|Monroe
192.111.139.162:4145|United States|Georgia|Atlanta
159.65.106.43:9050|Switzerland|Zurich|Zurich
192.111.138.29:4145|United States|Georgia|Atlanta
192.111.135.18:18301|United States|Georgia|Atlanta
60.12.77.43:7300|China|Zhejiang|Ningbo
43.228.125.91:63882|Singapore|Central Singapore|Singapore
180.167.161.166:7302|China|Shanghai|Shanghai
193.169.4.184:10801|Russia|Moscow Oblast|Reutov
97.74.80.13:1080|Singapore|Central Singapore|Singapore
192.252.214.20:15864|United States|Georgia|Atlanta
68.71.249.153:48606|United States|California|Los Angeles
223.65.208.62:7302|China|Zhejiang|Wenzhou
112.54.33.47:7302|Hong Kong|Tsuen Wan District|Tsuen Wan
192.252.211.197:14921|United States|Georgia|Atlanta
192.111.135.17:18302|United States|Georgia|Atlanta
192.111.130.2:4145|Canada|Ontario|Toronto
8.210.118.170:1080|Hong Kong|Central and Western District|Hong Kong
60.248.77.66:3000|Taiwan|New Taipei|New Taipei
8.210.36.253:1080|Hong Kong|Central and Western District|Hong Kong
60.215.109.34:7302|China|Shandong|Jinan
178.62.249.183:29186|Netherlands|North Holland|Amsterdam
194.87.102.102:1111|Russia|Moscow|Moscow
113.107.139.199:7302|China|Guangdong|Jiangmen
104.236.45.251:40952|United States|New Jersey|Clifton
173.212.248.58:21030|Germany|Bavaria|Nuremberg
138.68.57.62:9050|Sweden|Stockholm County|Stockholm
223.65.208.62:7300|China|Zhejiang|Wenzhou
192.111.130.5:17002|Canada|Ontario|Toronto
125.141.139.112:5566|Netherlands|North Holland|Amsterdam
138.68.18.219:9050|Sweden|Stockholm County|Stockholm
143.198.174.38:47636|United States|New Jersey|North Bergen
51.79.52.80:3080|Canada|Quebec|Beauharnois
192.252.208.70:14282|United States|Georgia|Atlanta
165.154.46.128:63225|Hong Kong|Central and Western District|Central
202.182.117.248:16229|Japan|Tokyo|Heiwajima
173.249.33.122:28724|Germany|Bavaria|Nuremberg
91.121.79.58:24322|France|Hauts-de-France|Villeneuve-d'Ascq
62.128.111.250:443|Estonia|Harjumaa|Tallinn
192.111.129.145:16894|United States|Georgia|Atlanta
51.83.21.224:16379|Sweden|Stockholm County|Stockholm
51.222.12.245:10084|Canada|Quebec|Beauharnois
192.111.139.165:19402|United States|Georgia|Atlanta
46.147.194.197:1080|Russia|Tula Oblast|Tula
96.9.92.227:33427|Cambodia|Phnom Penh|Phnom Penh
151.80.196.231:31596|France|Hauts-de-France|Roubaix
192.210.200.10:9050|Netherlands|North Holland|Amsterdam
192.111.137.35:4145|United States|Georgia|Atlanta
173.212.240.33:56304|Germany|Bavaria|Nuremberg
192.111.139.165:4145|United States|Georgia|Atlanta
124.67.161.108:7302|China|Inner Mongolia Autonomous Region|Hohhot
