168.8.209.253:8080|United States|Georgia|Roswell
178.252.175.5:8080|Iran|Tehran|Tehran
85.25.119.98:5566|Germany|Bavaria|Gerolzhofen
117.54.11.82:3128|Indonesia|Jakarta|Jakarta
190.24.119.55:999|Colombia|Bogota D.C.|Bogotá
45.229.248.35:999|Argentina|Buenos Aires F.D.|Buenos Aires
222.162.121.224:11223|Singapore|Central Singapore|Singapore
200.178.26.50:80|Brazil|Sao Paulo|São Paulo
176.235.131.231:9090|Turkey|Istanbul|Istanbul
177.234.230.236:8588|Ecuador|Provincia de Pichincha|Quito
85.25.235.229:5566|Germany|Bavaria|Gerolzhofen
103.147.77.66:5003|Indonesia|West Nusa Tenggara|Sumbawa Besar
103.111.12.18:8080|Bangladesh|Chittagong|Feni
181.78.16.236:8080|Colombia|Departamento de Norte de Santander|Cúcuta
178.252.175.16:8080|Iran|Tehran|Tehran
178.252.175.26:8080|Iran|Tehran|Tehran
190.109.122.197:999|Ecuador|Provincia de Los Rios|Babahoyo
103.102.14.215:3125|Indonesia|Banten|Tangerang
85.25.235.82:5566|Germany|Bavaria|Gerolzhofen
41.216.178.151:8080|Indonesia|West Java|Tasikmalaya
134.35.233.5:19090|Yemen|Amanat Alasimah|Sanaa
62.75.229.77:5566|Germany|North Rhine-Westphalia|Bonn
103.241.204.241:3129|Indonesia|East Java|Jember
85.25.117.68:5566|Germany|Bavaria|Gerolzhofen
102.68.128.218:8080|Libya|Tripoli|Tripoli
161.22.33.181:999|Venezuela|Miranda|Petare
49.128.180.177:8080|Indonesia|Yogyakarta|Yogyakarta
177.73.112.178:9090|Brazil|Rio Grande do Norte|Bento Fernandes
45.229.32.190:999|Dominican Republic|Provincia de Santo Domingo|Santo Domingo Este
45.175.154.36:999|Argentina|Cordoba|Laguna Larga
188.138.11.39:5566|Germany|Bavaria|Gerolzhofen
85.25.118.155:5566|Germany|Bavaria|Gerolzhofen
170.80.202.238:999|Dominican Republic|Provincia de Santiago|Santiago de los Caballeros
62.33.210.34:8333|Russia|Vladimirskaya Oblast'|Aleksandrov
200.8.190.45:999|Venezuela|Lara|Barquisimeto
38.101.122.186:999|Dominican Republic|Provincia de Santo Domingo|Santo Domingo Este
51.77.73.64:1081|Germany|Hesse|Limburg an der Lahn
45.7.135.233:999|Colombia|Bogota D.C.|Bogotá
177.234.226.115:999|Ecuador|Provincia de Manabi|Manta
190.90.130.102:999|Colombia|Departamento de Santander|Barrancabermeja
