222.92.207.102:40086|China|Jiangsu|Suzhou
192.249.127.96:9999|Netherlands|North Holland|Alkmaar
103.141.12.161:1080|Bangladesh|Rajshahi Division|Chandina
138.68.57.62:9050|Netherlands|North Holland|Amsterdam
51.83.190.248:19050|United States|New York|New York
222.162.121.224:11223|United States|California|San Jose
124.107.231.81:1080|Philippines|Calabarzon|San Pablo City
60.248.77.68:3000|Taiwan|New Taipei|New Taipei
210.16.73.82:1080|Philippines|Calabarzon|San Pablo City
24.216.19.234:9050|Seychelles|English River|Victoria
158.69.56.101:42316|Canada|Quebec|Montreal
107.174.20.110:16101|Germany|Free and Hanseatic City of Hamburg|Hamburg
125.141.133.49:5566|United States|Washington|Seattle
